color,count,group,meaning,confidence
#000000,453,Structure / outlines / text,"generic geometry, borders, labels",high
#000080,146,Water loop (navy),RFCELL water-loop / process line,medium
#0000ff,92,Process line A,4.5 K / 3 bar helium supply,high
#4d4d4d,65,Dark-grey structure,structural strokes (RFCELL),medium
#ffffff,63,Fills,white fills / backgrounds,high
#ff0000,59,Process line D,40 K / 14 bar thermal-shield helium,high
#00ff00,48,Coupler / utility water lines,DI cooling water to couplers / FREIA,high
#f2f2f2,43,Vacuum / shading,devices-under-vacuum light shading,medium
#008000,34,QINFRA scope piping,infrastructure scope-division lines,medium
#1a1a1a,32,Dark strokes / text,near-black strokes and annotations,high
#00ffff,24,Process line B,3.5 K / 27 mbar helium (2 K return),high
#808000,11,He-guard / Class E header,292 K 1.15 bar guard or 60 K/13 bar return,medium
#aa4400,10,Cavity / coupler body,cavity/coupler metal body (brown),medium
#9b9b9b,8,(unmapped),,low
#a0adbd,8,(unmapped),,low
#bf512e,6,Cavity / coupler body,cavity/coupler metal body (brown),medium
#999999,4,Grey structure,mechanical structure / shading,medium
#898585,4,(unmapped),,low
#666666,4,(unmapped),,low
#808080,2,Grey shading,mid-grey shading,medium
#ffcc00,2,Highlight / heat,amber highlight / heat annotation,low
#cccccc,2,(unmapped),,low
#800000,2,(unmapped),,low
#ff00ff,1,Instrument air,pneumatic / instrument-air signal lines,high
