interface_id,title,sbs,service_type,location,tp1_role,tp1_system,tp1_terminal,tp2_role,tp2_system,tp2_terminal,connected_to,physical_material,medium,state,key_conditions,function_rationale,scope_status,quantity,size_metric,unit,maturity,evidence_class,rfi,size_percent_of_card_total,rank_by_size
ICD-ELEC-001,Electrical power,WCS,electrical_power,CCB,requestor/load,WCS,WCS.MCC.INCOMER,provider/service,ES02 / facility electrical,Owner HV/LV supply point,"HP compressors, PVPS, auxiliaries",cable / copper / protection,electricity,power_quality,main operational electrical load; power-quality interface; backup/ride-through to be clarified,power to rotating equipment and auxiliaries,owner utility interfacing with package loads,ca. 897 kWe 2K-OP WCS basis,897,kWe,PARTIAL,I/E mixed,RFI-EL-001,30.51020408163265,1
ICD-CW-001,Cooling water WCS,WCS,cooling_water,CCB,requestor/load,WCS,WCS.CW.HEADERS,provider/service,PCW/RCW facility,Facility CW branch,compressor coolers and heat-recovery branch,pipe / valves / water-glycol,water or 40% PG,liquid,27 C inlet; 37 C return nominal; 42 C high-temperature recovery case,remove compressor heat and enable utility sizing,shared facility utility,733 kWth HP + 75 kWth PVPS 2K-OP basis,808,kWth,PARTIAL,E/C/I,RFI-CW-001,27.48299319727891,2
ICD-HR-001,Heat recovery HV06,WCS,heat_recovery,CCB,requestor/load/source,WCS,WCS.HR.HV06,provider/sink,HV06 recovery system,HV06 recovery connection,WCS recovery loop,pipe / heat exchanger / controls,water,30/55 C recovery loop,30/55 C recovery temperatures; useful sink not yet fully defined,recover useful waste heat from compression,design / offer clarification required,up to ca. 660 kWth useful at 90% of HP CW heat,660,kWth,INFERRED,C/I,RFI-HR-001,22.448979591836736,3
ICD-HVAC-001,HVAC / HP air cooling bypass,WCS,HVAC_air_bypass,CCB,requestor/load,WCS room / HP compressors,CCB.HVAC.EXTRACT + Kaeser bypass duct,provider/service,Building HVAC / ducting by SCK,HVAC extract/make-up system,compressor room / HP compressors,air duct / room air / dampers,air,ventilation,residual room heat 50-81 kW; motor air bypass treatment,avoid double counting and manage room heat rejection,impacts heat-balance interpretation,50-81 kWth room heat cases,81,kWth,INFERRED,I,RFI-HVAC-001,2.7551020408163267,6
ICD-CW-002,Cooling water QRB auxiliaries,QRB,cooling_water,AUB,requestor/load,QRB,QRB.CW.AUX,provider/service,PCW/RCW facility or shared WCS branch,Facility/branch CW terminal,QRB auxiliaries / selected warm-end services,pipe / valves,water or 40% PG,liquid,facility cooling water connection; lower duty than WCS; explicit scope needed,support auxiliary heat rejection,include explicitly in interface scope,TBD kWth,30,kWth placeholder,OPEN,U/I,RFI-CW-002,1.0204081632653061,7
ICD-GN2-001,Gaseous nitrogen regeneration,WCS/QRB,gaseous_nitrogen,CCB + AUB,requestor/user,adsorber / purge / regeneration users,GN2.USER.TP,provider/service,GN2 facility / bottle pack / network,GN2 supply line boundary,regeneration / purge users,gas pipe / regulator / valves,GN2,dry gas,"regeneration, purge, dry-out support; purity and pressure not closed",non-process service for adsorber / cleanup regeneration,"often omitted, must be specified",TBD Nm3/h peak,10,TBD,MISSING,U,RFI-GN2-001,0.3401360544217687,9
ICD-HE-001,Helium process lines,WSH/Process,helium_process,Outside + CCB + AUB,requestor/user,QCELL/QDB/process users,QDB.A/B/D/E/W,provider/service,QPLANT.QPR / WSH/WCS/QRB,QPLANT.A/B/D/E/W terminal points,"WSH, WCS, QRB",cryogenic/warm helium pipe; welded/flanged terminal points,helium,gas/liquid/supercritical depending line,process helium transfer and buffer linkage; pressure/temp/mass flow per operating state,"connect storage, compression, and refrigeration functions",primary process interfaces,326 g/s HP flow 30QM 2K-OP reference,326,g/s,PARTIAL,E/C/I,RFI-HE-001,11.088435374149661,4
ICD-CTRL-001,Control interfaces,Controls,control_signals,CCB + AUB + Outside,requestor/plant control,QPS package PLCs / field devices,QPS.I/O.TP,provider/supervisory,CIS/MCS/local facility systems,CIS/MCS communication boundary,"CIS, MCS, PLCs, field devices",cable / network / signal / hardwired trips,signals and data,I/O / network / interlock,"signals, interlocks, trips, monitoring; cyber boundary",bind package equipment to facility control architecture,critical execution interface,100% criticality interface,100,% criticality,PARTIAL,I/E mixed,RFI-CTRL-001,3.4013605442176873,5
ICD-AIR-001,Instrument air,WCS/QRB,instrument_air,CCB + AUB,requestor/user,WCS/QRB valves and actuators,IA.USER.HEADER,provider/service,instrument air facility,dry clean air terminal,pneumatic valves and purge panels,gas pipe / regulator,instrument air,dry gas,"pressure, dew point, capacity, redundancy",actuation and service support,to be confirmed,TBD Nm3/h,8,TBD,TO_BE_CONFIRMED,U/I,RFI-AIR-001,0.27210884353741494,10
ICD-RCW-001,RCW / lower-temperature cooling,WCS/QRB,cooling_water,CCB + AUB,requestor/load,selected WCS/QRB auxiliaries,RCW.USER.BRANCH,provider/service,RCW facility,RCW terminal point,selected lower-temperature heat rejection users,pipe / water / glycol,water/glycol,liquid,27/37/42 C cases to be mapped to PCW/RCW definitions,avoid mixing PCW/RCW/HV06 assumptions,clarify utility taxonomy,TBD kWth,20,TBD,OPEN,U/I,RFI-CW-003,0.6802721088435374,8
