color,count,group,meaning,confidence
#000000,1144,Structure / outlines / text,"generic geometry, borders, labels",high
#0000ff,370,Process line A,4.5 K / 3 bar helium supply,high
#ff0000,330,Process line D,40 K / 14 bar thermal-shield helium,high
#00ff00,246,Coupler / utility water lines,DI cooling water to couplers / FREIA,high
#00ffff,193,Process line B,3.5 K / 27 mbar helium (2 K return),high
#808000,160,He-guard / Class E header,292 K 1.15 bar guard or 60 K/13 bar return,medium
#ff00ff,151,Instrument air,pneumatic / instrument-air signal lines,high
#ffffff,143,Fills,white fills / backgrounds,high
#1a1a1a,131,Dark strokes / text,near-black strokes and annotations,high
#f2f2f2,76,Vacuum / shading,devices-under-vacuum light shading,medium
#999999,73,Grey structure,mechanical structure / shading,medium
#808080,54,Grey shading,mid-grey shading,medium
#008000,43,QINFRA scope piping,infrastructure scope-division lines,medium
#9b9b9b,42,(unmapped),,low
#ffaaaa,13,RFCELL instrument bubble,salmon instrument fill,low
#4d4d4d,12,Dark-grey structure,structural strokes (RFCELL),medium
#a0adbd,8,(unmapped),,low
#cccccc,8,(unmapped),,low
#000080,8,Water loop (navy),RFCELL water-loop / process line,medium
#d35f5f,8,RFCELL instrument bubble,salmon instrument fill,low
#ffcc00,7,Highlight / heat,amber highlight / heat annotation,low
#ffff00,5,(unmapped),,low
#898585,4,(unmapped),,low
#666666,4,(unmapped),,low
#aaffaa,4,(unmapped),,low
#aaccff,4,(unmapped),,low
#80b3ff,4,(unmapped),,low
#55ff99,3,(unmapped),,low
#d38d5f,3,(unmapped),,low
#bf512e,2,Cavity / coupler body,cavity/coupler metal body (brown),medium
#aa4400,2,Cavity / coupler body,cavity/coupler metal body (brown),medium
#e580ff,2,(unmapped),,low
#e9afaf,1,(unmapped),,low
#e6e6e6,1,(unmapped),,low
#ff8080,1,(unmapped),,low
