rfi_id,topic,applicant,question_or_negotiation_item,priority,status
RFI-HP-001,HP compressors,Both,"Provide compressor model, operating point, frequency, suction/discharge P/T, helium mass flow, shaft power, package electrical input, VFD losses, heat rejection, and OEM performance map for each scenario. Clarify 72 Hz max vs nominal operation and N+1/N-1 capability.",P0,OPEN
RFI-PVPS-001,PVPS technology,Both,"Confirm pump technology, fixed/VFD status, running-unit logic, suction/discharge pressure, flow per pump, bypass/recycle/makeup logic, motor input, maintenance intervals, oil/dry contamination controls, and total 2K-OP/SB power.",P0,OPEN
RFI-CW-001,WCS cooling water,Both,"Confirm PCW/RCW/HV06 utility taxonomy, 27/37/42 C cases, water vs 40% PG, pressure drop, allowable return temperature, heat-recovery routing, and boundary at WCS headers.",P0,OPEN
RFI-CW-002,QRB cooling water,Both,"Identify all QRB auxiliaries requiring cooling water, heat duties, flow, temperature, location AUB/CCB, and whether service is shared with WCS or separate facility branch.",P0,OPEN
RFI-HR-001,Heat recovery HV06,Both,"Confirm 30/55 C heat recovery loop, recoverable heat, useful sink assumptions, operating availability, metering boundary, and whether recovery is contractual or optional.",P0,OPEN
RFI-HVAC-001,HVAC and HP air bypass,Both,"State whether motor cooling air and bypass air are ducted outdoors or discharged to CCB, who supplies ducting, and the split between package heat to room, ambient, and water.",P0,OPEN
RFI-GN2-001,Gaseous nitrogen regeneration,Both,"Provide GN2 pressure, purity, peak flow, normal flow, regeneration/purge/dry-out use cases, terminal points, bottle/network supply responsibility and safety controls.",P0,OPEN
RFI-AIR-001,Instrument air,Both,"Provide instrument air pressure, dew point, quality, normal/peak consumption, redundancy, terminal point and ownership for WCS and QRB valves/actuators.",P0,OPEN
RFI-HE-001,Helium process interfaces,Both,"Provide A/B/D/E/W/U/S terminal points, pressure/temperature/flow envelopes, weld/flange/material boundary, scope split, line ownership, test scope and operating-state dependency.",P0,OPEN
RFI-CTRL-001,Controls and CIS/MCS,Both,"Provide control architecture, hardwired trip list, communication protocols, cyber boundary, terminal I/O list, alarm/trend list, data ownership and SAT/FAT verification.",P0,OPEN
RFI-QRB-001,QRB state table,Both,"Provide complete PFD-linked stream table for all QRB streams and branch/mixing points, including m, P, T, h, s, phase/quality and line identifiers.",P0,OPEN
RFI-HX-001,Heat exchangers,Both,"Provide HX inlet/outlet states, pressure drops, minimum approach, UA/effectiveness, duties and entropy generation/exergy destruction.",P0,OPEN
RFI-TUR-001,Turbo-expanders,Both,"Provide turbine inlet/outlet states, flow, speed, shaft/brake power, isentropic efficiency, map and control/bypass logic.",P0,OPEN
RFI-CC-001,Cold compressor stages,Both,"Provide CC1/2/3 stage inlet/outlet P/T/h/s, flow, speed, pressure ratio, motor/VFD input, anti-surge/recycle and warm PVPS coupling.",P0,OPEN
RFI-EX-001,Exergy breakdown,Both,"Provide sufficient thermodynamic and electrical data to reproduce invCOP and component-level exergy destruction; distinguish guaranteed, expected and informative values.",P0,OPEN
RFI-SBS-001,ALAT SBS image-only matrix,ALAT,"Provide native spreadsheet or machine-readable scope matrix for C/D/P/M/site responsibility rows; confirm visual OCR interpretation.",P0,OPEN
RFI-DEL-001,Deliverable timing and level of detail,Both,"Clarify which PFD, P&ID, T-s, datasheets, ICDs, SLD and control architecture are offer-stage, conceptual design, detailed design, FAT, shipment or as-built deliverables.",P0,OPEN
RFI-COST-001,Cost/spares/replacement/RAMS,Both,"Provide parent-package pricing, spare-parts categories, strategic versus maintenance spares, replacement assumptions, 4/10/20-year OPEX and RAMS cost impact.",P0,OPEN
RFI-LOC-001,Locations and terminal points,Both,"Confirm CCB/AUB/Outside locations for each major equipment item and terminal point, including routing, access, maintenance and installation boundaries.",P0,OPEN
RFI-CODES-001,Codes and standards,Both,"Provide codes/standards by subsystem and interface, including pressure equipment, piping, electrical, controls, seismic/safety, welding/NDT and commissioning.",P0,OPEN
